timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,timing_advance_deg,coil_dwell_ms,engine_load_pct,map_kpa,injection_time_ms,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker,raw_hex
1789379992.1303,-9.889,1381.0,179.9,3.14,0.00,8.50,2.40,23.1,45.1,4.11,14.10,0.000,79.0,41.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15947a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379992.5790,-9.440,1392.0,24.5,3.14,0.00,8.00,2.40,23.1,45.1,4.11,14.10,0.000,79.0,41.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15c0a6 TPS:486bd1411108de ADV:486bd1410e9063 MIL:486bd1410100000000c6
1789379992.8557,-9.164,1374.0,-65.1,3.14,0.00,8.00,2.40,23.1,45.1,4.11,14.10,0.000,79.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15785e TPS:486bd1411108de ADV:486bd1410e9063 MIL:486bd1410100000000c6
1789379993.1436,-8.876,1327.0,-163.3,3.14,0.00,8.50,2.40,23.1,45.1,4.11,14.10,0.000,79.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14bca1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379993.4642,-8.555,1377.0,155.9,3.14,0.00,8.50,2.40,23.1,45.1,4.11,14.10,0.000,79.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15846a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379993.9296,-8.090,1325.0,-111.7,3.14,0.00,9.00,2.40,23.1,45.1,4.11,14.10,0.000,79.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14b499 TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789379994.1993,-7.820,1338.0,48.2,3.14,0.00,8.50,2.40,23.1,45.1,4.11,14.10,0.000,79.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14e8cd TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379994.6396,-7.380,1340.0,4.5,3.14,0.00,8.50,2.40,23.1,45.1,4.11,14.10,0.000,79.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14f0d5 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379994.9200,-7.100,1354.0,49.9,3.14,0.00,8.50,2.40,23.1,45.1,4.08,14.10,0.000,80.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15280e TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379995.2270,-6.793,1310.0,-143.3,3.14,0.00,8.00,2.40,23.1,45.1,4.08,14.10,0.000,80.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14785d TPS:486bd1411108de ADV:486bd1410e9063 MIL:486bd1410100000000c6
1789379995.4951,-6.524,1320.0,37.3,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14a085 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379995.8142,-6.205,1334.0,43.9,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14d8bd TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379996.0914,-5.928,1331.0,-10.8,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14ccb1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379996.5537,-5.466,1363.0,69.2,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c154c32 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379996.8246,-5.195,1336.0,-99.7,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14e0c5 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379997.1581,-4.861,1332.0,-12.0,3.14,0.00,8.00,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14d0b5 TPS:486bd1411108de ADV:486bd1410e9063 MIL:486bd1410100000000c6
1789379997.4703,-4.549,1347.0,48.1,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c150cf2 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379997.9409,-4.079,1343.0,-8.5,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14fce1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379998.2493,-3.770,1353.0,32.4,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15240a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379998.7318,-3.288,1339.0,-29.0,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14ecd1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379999.0273,-2.992,1331.0,-27.1,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14ccb1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379999.2982,-2.721,1363.0,118.1,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c154c32 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379999.5877,-2.432,1326.0,-127.8,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14b89d TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379999.8725,-2.147,1333.0,24.6,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14d4b9 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380000.2037,-1.816,1382.0,147.9,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15987e TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380000.6852,-1.334,1318.0,-132.9,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,45.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14987d TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380000.9766,-1.043,1357.0,133.8,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15341a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380001.2855,-0.734,1341.0,-51.8,3.14,0.00,9.00,2.40,22.7,45.1,4.05,14.10,0.000,80.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14f4d9 TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789380001.5835,-0.436,1351.0,33.5,3.14,0.00,9.00,2.40,22.7,45.1,4.05,14.10,0.000,80.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c151c02 TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789380002.0195,0.000,1332.0,-43.6,3.14,0.00,9.00,2.40,22.7,45.1,4.05,14.10,0.000,80.0,46.0,1,0,0,0,0,0,0,NONE,>>> MANUAL_TRIGGER,RPM:486bd1410c14d0b5 TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789380002.2994,0.280,1345.0,46.4,3.14,0.00,9.00,2.40,22.7,45.1,4.05,14.10,0.000,80.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1504ea TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789380002.7501,0.731,1334.0,-24.4,3.14,0.00,8.50,2.40,22.7,45.1,4.05,14.10,0.000,80.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14d8bd TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380003.0878,1.068,1308.0,-77.0,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c147055 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380003.3753,1.356,1381.0,253.9,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15947a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380003.6634,1.644,1315.0,-229.0,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c148c71 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380003.9346,1.915,1366.0,188.0,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15583e TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380004.2212,2.202,1376.0,34.9,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c158066 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380004.7036,2.684,1376.0,0.0,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,46.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c158066 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380004.9865,2.967,1327.0,-173.2,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14bca1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380005.2852,3.266,1341.0,46.9,3.14,0.00,9.00,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14f4d9 TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789380005.5852,3.566,1349.0,26.7,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1514fa TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380006.0226,4.003,1353.0,9.1,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15240a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380006.2934,4.274,1357.0,14.8,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15341a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380006.7395,4.720,1338.0,-42.6,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14e8cd TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380007.0820,5.063,1357.0,55.5,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15341a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380007.3687,5.349,1344.0,-45.3,3.14,0.00,8.50,2.40,23.1,45.1,4.06,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1500e6 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380007.6408,5.621,1325.0,-69.8,3.14,0.00,8.50,2.40,22.4,45.1,3.99,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14b499 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380007.9133,5.894,1341.0,58.7,3.14,0.00,8.50,2.40,22.4,45.1,3.99,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14f4d9 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380008.1851,6.166,1325.0,-58.9,3.14,0.00,8.50,2.40,22.4,45.1,3.99,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14b499 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789380008.6263,6.607,1355.0,68.0,3.14,0.00,8.50,2.40,22.4,45.1,3.99,14.10,0.000,81.0,47.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c152c12 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
