timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,timing_advance_deg,coil_dwell_ms,engine_load_pct,map_kpa,injection_time_ms,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker,raw_hex
1789379676.5232,-9.695,1328.0,16.0,3.14,0.00,8.50,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14c0a5 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379677.0104,-9.208,1373.0,92.4,3.14,0.00,9.00,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15745a TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789379677.2819,-8.936,1358.0,-55.2,3.14,0.00,8.50,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15381e TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379677.5857,-8.632,1326.0,-105.3,3.14,0.00,8.00,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14b89d TPS:486bd1411108de ADV:486bd1410e9063 MIL:486bd1410100000000c6
1789379677.8576,-8.361,1385.0,217.0,3.14,0.00,8.50,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15a48a TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379678.2963,-7.922,1336.0,-111.7,3.14,0.00,8.50,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14e0c5 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379678.5606,-7.658,1309.0,-102.1,3.14,0.00,8.50,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c147459 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379679.0283,-7.190,1310.0,2.1,3.14,0.00,8.50,2.40,23.9,45.1,4.15,14.10,0.000,80.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14785d TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379679.3141,-6.904,1330.0,70.0,3.14,0.00,9.00,2.40,23.9,45.1,4.13,14.10,0.000,81.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14c8ad TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789379679.5837,-6.635,1352.0,81.6,3.14,0.00,8.50,2.40,23.9,45.1,4.13,14.10,0.000,81.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c152006 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379679.9036,-6.315,1323.0,-90.6,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14ac91 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379680.1958,-6.022,1344.0,71.9,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1500e6 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379680.4782,-5.740,1320.0,-85.0,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14a085 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379680.9988,-5.219,1321.0,1.9,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,48.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14a489 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379681.2668,-4.951,1316.0,-18.7,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,49.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c149075 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379681.5347,-4.684,1339.0,85.9,3.14,0.00,9.00,2.40,22.7,45.1,4.02,14.10,0.000,81.0,49.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c14ecd1 TPS:486bd1411108de ADV:486bd1410e9265 MIL:486bd1410100000000c6
1789379681.8055,-4.413,1362.0,84.9,3.14,0.00,8.00,2.40,22.7,45.1,4.02,14.10,0.000,81.0,49.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c15482e TPS:486bd1411108de ADV:486bd1410e9063 MIL:486bd1410100000000c6
1789379682.3159,-3.902,1309.0,-103.8,3.14,0.00,8.50,2.40,22.7,45.1,4.02,14.10,0.000,81.0,49.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c147459 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
