timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,timing_advance_deg,coil_dwell_ms,engine_load_pct,map_kpa,injection_time_ms,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker,raw_hex
1789380127.8618,-9.282,2475.0,-751.7,3.53,0.00,28.50,2.40,37.6,45.3,5.23,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c26aca3 TPS:486bd1411109df ADV:486bd1410eb98c MIL:486bd1410100000000c6
1789380128.1791,-8.964,2189.0,-901.2,3.53,0.00,21.50,2.40,37.6,45.3,5.23,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c223427 TPS:486bd1411109df ADV:486bd1410eab7e MIL:486bd1410100000000c6
1789380128.4585,-8.685,2014.0,-626.3,3.92,1.40,20.50,2.40,37.6,45.6,5.23,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1f7868 TPS:486bd141110ae0 ADV:486bd1410ea97c MIL:486bd1410100000000c6
1789380128.7372,-8.406,1972.0,-150.7,4.31,1.41,17.50,2.40,22.4,45.8,3.85,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1ed0bf TPS:486bd141110be1 ADV:486bd1410ea376 MIL:486bd1410100000000c6
1789380129.0415,-8.102,1986.0,46.0,4.71,1.29,14.00,2.40,22.4,46.0,3.85,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1f08f8 TPS:486bd141110ce2 ADV:486bd1410e9c6f MIL:486bd1410100000000c6
1789380129.3292,-7.814,2029.0,149.5,4.71,0.00,18.50,2.40,22.4,46.0,3.85,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c1fb4a4 TPS:486bd141110ce2 ADV:486bd1410ea578 MIL:486bd1410100000000c6
1789380129.7540,-7.389,2195.0,390.8,5.10,0.92,20.00,2.40,22.4,46.3,3.85,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c224c3f TPS:486bd141110de3 ADV:486bd1410ea87b MIL:486bd1410100000000c6
1789380130.0789,-7.064,2336.0,433.9,5.49,1.21,28.50,2.40,22.4,46.5,3.85,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c248075 TPS:486bd141110ee4 ADV:486bd1410eb98c MIL:486bd1410100000000c6
1789380130.3568,-6.786,2464.0,460.6,5.49,0.00,30.00,2.40,22.4,46.5,3.85,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c268077 TPS:486bd141110ee4 ADV:486bd1410ebc8f MIL:486bd1410100000000c6
1789380130.6354,-6.508,2632.0,603.0,5.88,1.41,33.00,2.40,22.4,46.7,3.85,14.10,0.000,87.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c29201a TPS:486bd141110fe5 ADV:486bd1410ec295 MIL:486bd1410100000000c6
