timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,timing_advance_deg,coil_dwell_ms,engine_load_pct,map_kpa,injection_time_ms,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,efi_light,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,trigger_event,raw_hex
1789379155.5361,0.000,0.0,0.0,3.14,0.00,8.50,2.73,0.0,101.3,4.57,12.50,0.000,35.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379155.8062,0.270,0.0,0.0,3.14,0.00,8.50,2.73,0.0,101.3,2.08,12.50,0.000,77.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379156.1410,0.605,0.0,0.0,3.14,0.00,8.50,2.73,0.0,101.3,2.08,12.50,0.000,77.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379156.4585,0.922,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379156.7337,1.198,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379157.0375,1.501,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379157.5007,1.965,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,22.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379157.7723,2.236,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379158.0440,2.508,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379158.3479,2.812,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379158.7976,3.261,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379159.0679,3.532,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379159.5497,4.014,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379159.8189,4.283,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379160.1373,4.601,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379160.4215,4.885,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
1789379160.7292,5.193,0.0,0.0,3.14,0.00,8.50,2.73,23.1,101.3,4.16,12.50,0.000,77.0,50.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c0000d1 TPS:486bd1411108de ADV:486bd1410e9164 MIL:486bd1410100000000c6
