timestamp,elapsed_sec,rpm,drpm_dt,tps_pct,dtps_dt,timing_advance_deg,coil_dwell_ms,engine_load_pct,map_kpa,injection_time_ms,battery_volts,dvolts_dt,coolant_temp_c,air_temp_c,crank_sync,coil_1_fault,coil_2_fault,coil_3_fault,coil_4_fault,tip_over,active_dtcs,event_marker,raw_hex
1789380110.4370,-9.567,3107.0,-358.4,3.53,0.00,52.50,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c308c8d TPS:486bd1411109df ADV:486bd1410ee9bc MIL:486bd1410100000000c6
1789380110.7399,-9.264,3039.0,-224.5,3.53,0.00,46.00,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c2f7c7c TPS:486bd1411109df ADV:486bd1410edcaf MIL:486bd1410100000000c6
1789380111.0119,-8.992,2911.0,-470.6,3.53,0.00,41.50,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c2d7c7a TPS:486bd1411109df ADV:486bd1410ed3a6 MIL:486bd1410100000000c6
1789380111.4928,-8.511,2703.0,-432.6,3.53,0.00,31.00,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c2a3c37 TPS:486bd1411109df ADV:486bd1410ebe91 MIL:486bd1410100000000c6
1789380111.7670,-8.237,2628.0,-273.5,3.53,0.00,27.50,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c29100a TPS:486bd1411109df ADV:486bd1410eb78a MIL:486bd1410100000000c6
1789380112.1910,-7.813,2491.0,-323.1,3.53,0.00,24.00,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c26ece3 TPS:486bd1411109df ADV:486bd1410eb083 MIL:486bd1410100000000c6
1789380112.4979,-7.506,2436.0,-179.2,3.53,0.00,23.50,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c261007 TPS:486bd1411109df ADV:486bd1410eaf82 MIL:486bd1410100000000c6
1789380112.7822,-7.222,2392.0,-154.8,3.53,0.00,22.50,2.40,32.2,45.3,4.75,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c256056 TPS:486bd1411109df ADV:486bd1410ead80 MIL:486bd1410100000000c6
1789380113.0886,-6.916,2318.0,-241.5,3.53,0.00,20.50,2.40,16.5,45.3,3.34,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c24382d TPS:486bd1411109df ADV:486bd1410ea97c MIL:486bd1410100000000c6
1789380113.3607,-6.644,2278.0,-147.0,3.53,0.00,20.00,2.40,16.5,45.3,3.34,14.10,0.000,86.0,43.0,1,0,0,0,0,0,0,NONE,,RPM:486bd1410c23988c TPS:486bd1411109df ADV:486bd1410ea87b MIL:486bd1410100000000c6
